Gen,Fit,Cat,Div,Loc,Comp,Unq,Tot,Hits
24930,319244,0,0.0296149,0.69492,0.226096,0.787915,34,5,92252
25320,319244,0,0.0244431,0.722626,0.192848,0.817468,35,6,94160
25530,319244,0,0.0215321,0.736224,0.176531,0.831973,35,6,95235
25560,319244,0,0.0215321,0.738221,0.174135,0.834102,35,6,95370
25800,319244,0,0.0215321,0.738221,0.174135,0.834102,35,6,96264
25980,319244,0,0.0215321,0.738221,0.174135,0.834102,35,6,96911
26130,319244,0,0.0207867,0.742214,0.169343,0.838361,35,6,97450
26460,319244,0,0.0223188,0.734006,0.179193,0.829607,35,6,98475
27030,319244,0,0.0219462,0.736003,0.176797,0.831736,35,6,100194
27060,319244,0,0.0219462,0.736003,0.176797,0.831736,35,6,100271
27270,319244,0,0.0192547,0.750421,0.159494,0.847116,35,6,100884
27570,319244,0,0.0179627,0.757343,0.151189,0.854499,36,7,101772
27780,319244,0,0.0179627,0.757343,0.151189,0.854499,36,7,102392
28170,319244,0,0.0179627,0.757343,0.151189,0.854499,36,7,103344
28260,319244,0,0.0179627,0.757343,0.151189,0.854499,36,7,103549
28290,319244,0,0.0179627,0.757343,0.151189,0.854499,36,7,103621
28650,319244,0,0.0179627,0.757343,0.151189,0.854499,36,7,104448
28710,319244,0,0.0179627,0.757343,0.151189,0.854499,36,7,104587
28740,319244,0,0.0179627,0.757343,0.151189,0.854499,36,7,104661
29610,319244,0,0.0175487,0.759561,0.148527,0.856865,36,7,106606
29730,319244,0,0.0166791,0.764219,0.142937,0.861834,36,7,106862
29820,319244,0,0.0166791,0.764219,0.142937,0.861834,36,7,107078
30480,319234,0,0.0190932,0.751287,0.158456,0.848039,37,7,108437
30600,319234,0,0.0190932,0.751287,0.158456,0.848039,37,7,108669
31020,319234,0,0.0193623,0.749845,0.160186,0.846501,37,7,109485
31140,319234,0,0.0193623,0.749845,0.160186,0.846501,37,7,109712
31350,319234,0,0.0194658,0.74929,0.160852,0.845909,37,7,110171
