Gen,Fit,Cat,Div,Loc,Comp,Unq,Tot,Hits
155160,316383,0,0.0203768,0.74441,0.166708,0.840704,361,74,328951
155310,316383,0,0.0191304,0.751087,0.158696,0.847826,361,74,329261
155460,316383,0,0.0183437,0.755302,0.153638,0.852322,361,74,329563
156030,316383,0,0.0179089,0.757631,0.150843,0.854806,361,74,330523
156480,316383,0,0.0176812,0.758851,0.149379,0.856108,361,74,331180
156720,316383,0,0.0170393,0.762289,0.145253,0.859775,361,74,331482
157260,316383,0,0.0168944,0.763066,0.144321,0.860603,361,74,332122
157530,316383,0,0.0168737,0.763177,0.144188,0.860722,361,74,332452
157620,316383,0,0.0160663,0.767502,0.138997,0.865336,362,75,332615
157740,316383,0,0.0160663,0.767502,0.138997,0.865336,362,75,332818
158370,316383,0,0.0160663,0.767502,0.138997,0.865336,362,75,333565
158880,316383,0,0.0163561,0.765949,0.140861,0.863679,362,75,334220
158940,316383,0,0.0149317,0.77358,0.131704,0.871819,362,75,334339
159540,316383,0,0.0145176,0.775799,0.129042,0.874185,362,75,335165
160050,316383,0,0.0150145,0.773137,0.132236,0.871346,362,75,335804
160920,316383,0,0.0134369,0.781588,0.122094,0.880361,363,76,337015
161610,316383,0,0.0134369,0.781588,0.122094,0.880361,363,76,337937
161820,316383,0,0.0126915,0.785581,0.117303,0.88462,363,76,338340
163470,316383,0,0.0120704,0.788909,0.11331,0.888169,364,77,340366
