210,359771,0,1,2,1,3,4,5,6,4,4,5,4,5,3,7,7,5,8,7,6,9,0,9,8,10,11,12,11,13,8,14,2,0,15,9,16,3,15,17,8,11,16,7,18,18,9,17,19,0,19,16,15,0,16,13,15,10,20,0,7,19,15,9,7,0,0,16,9,15,9,17,9,18,10,8,19,2,9,4,10,9,7,7,14,5,17,12,4,12,19,15,7,5,4,7,11,18,7,0,7,16,1,2,20,10,15,3,5,15,8,11,11,14,15,0,19,15,5,20,12,2,8,15,9,8,17,2,13,2,6,20,11,11,11,12,8,17,10,2,15,3,12,4,1,19,4,14,8,5,18,7,19,18,18,9,6,11,20,3,8,12,6,12,3,18,5,11,10,18,17,6,5,0,14,9,9,6,10,10,19,3,0,13,14,13,10,3,18,12,12,18,20,6,0,10,3,3,6,6,6,11,16,16,20,8,14,4,1,10,5,1,17,0,17,15,15,3,3,2,7,10,1,16,13,15,13,5,1,13,17,10,20,11,16,5,20,11,14,12,3,6,17,5,9,20,1,4,20,19,6,6,1,4,19,18,1,1,4,6,20,0,12,1,10,18,17,20,16,10,18,12,15,17,17,19,4,6,13,2,15,19,3,11,9,15,3,16,0,15,4,11,9,15,15,15,15,19,4,19,2,18,16,2,8,14,16,0,2,5,13,14,15,13,15,15,13,12,19,19,20,2,6
270,359771,0,1,2,1,3,4,5,6,4,4,5,4,5,3,7,7,5,8,7,6,9,0,9,8,10,11,12,11,13,8,14,2,0,15,9,16,3,15,17,8,11,16,7,18,18,9,17,19,0,19,16,15,0,16,13,15,10,20,0,7,19,15,9,7,0,0,16,9,15,9,17,9,18,10,8,19,2,9,4,10,9,7,7,14,5,17,12,4,12,19,15,7,5,4,7,11,18,7,0,7,16,1,2,20,10,15,3,5,15,8,11,11,14,15,0,19,15,5,20,12,2,8,15,9,8,17,2,13,2,6,20,11,11,11,12,8,17,10,2,15,3,12,4,1,19,4,14,8,5,18,7,19,18,18,9,6,11,20,3,8,12,6,12,3,18,5,11,10,18,17,6,5,0,14,9,9,6,10,10,19,3,0,13,14,13,10,3,18,12,12,18,20,6,0,10,3,3,6,6,6,11,16,16,20,8,14,4,1,10,5,1,17,0,17,15,15,3,3,2,7,10,1,16,13,15,13,5,1,13,17,10,20,11,16,5,20,11,14,12,3,6,17,5,9,20,1,4,20,19,6,6,1,4,19,18,1,1,4,6,20,0,12,1,10,18,17,20,16,10,18,12,15,17,17,19,4,6,13,2,15,19,3,11,9,15,3,16,0,15,4,11,9,15,15,15,15,19,4,19,2,18,16,2,8,14,16,0,2,5,13,14,15,13,15,15,13,12,19,19,20,2,6
630,356328,0,1,2,3,4,5,6,7,8,8,6,2,6,4,3,8,9,10,8,7,11,0,12,10,13,14,15,13,16,10,3,14,17,16,11,18,7,19,13,17,12,18,8,1,1,20,13,2,17,15,18,9,17,18,16,5,3,17,17,12,2,3,20,8,17,0,18,5,19,12,11,9,1,4,7,10,14,3,5,7,2,8,12,20,9,13,17,5,15,2,3,8,9,11,8,14,1,8,0,8,18,16,0,14,3,19,13,9,19,2,12,12,20,11,0,15,19,9,10,2,14,10,19,20,10,11,2,6,0,19,14,12,0,12,15,10,11,4,3,19,4,15,5,16,2,5,6,10,6,1,8,2,1,18,7,19,12,14,4,10,15,7,3,4,1,9,12,4,1,16,7,9,0,20,19,9,7,13,8,2,3,17,11,1,6,3,3,1,15,15,1,17,7,17,7,13,4,19,19,7,12,18,18,17,7,20,5,6,3,9,6,9,12,13,16,13,3,4,14,0,3,16,5,16,19,11,9,6,11,20,4,17,0,5,9,14,12,20,15,4,7,19,11,9,17,18,8,0,10,7,20,6,5,17,18,6,6,5,19,14,0,15,1,4,18,11,14,18,3,1,15,3,13,13,17,5,7,11,14,16,2,13,12,11,14,4,18,0,19,5,12,9,20,13,3,16,2,5,10,2,1,18,0,10,20,1,17,14,9,6,3,19,11,13,20,16,15,17,2,15,14,7
660,351398,0,1,0,2,3,4,5,6,6,6,7,8,7,3,4,6,9,10,4,6,5,11,4,12,6,11,13,14,5,10,2,15,10,5,5,16,8,7,17,10,3,16,8,18,18,7,17,12,13,12,16,12,19,16,12,4,7,19,13,14,13,7,7,11,13,11,16,8,1,4,12,8,1,17,17,10,0,12,1,6,12,14,14,20,9,14,19,20,12,19,2,8,9,20,8,11,18,0,15,3,16,1,0,15,4,12,3,9,18,13,14,14,1,2,11,12,20,9,13,13,11,10,7,7,10,12,8,5,0,1,15,14,11,14,19,10,12,17,15,5,17,11,4,2,10,4,1,10,5,16,3,12,20,16,2,7,11,15,3,10,13,2,13,8,1,9,14,3,1,5,6,9,15,2,20,4,6,17,6,12,14,19,1,1,5,7,14,1,13,13,18,19,6,19,6,3,14,7,1,6,3,18,7,19,17,20,4,1,3,9,18,12,0,17,5,17,14,4,0,8,3,2,4,20,1,9,9,20,1,5,3,19,0,4,16,15,0,2,11,8,6,9,20,4,19,16,6,15,19,17,6,18,9,19,16,1,1,20,2,15,15,19,18,3,16,20,15,16,8,20,19,18,17,17,10,9,8,12,15,5,13,17,11,4,0,8,16,11,7,4,15,9,1,18,7,5,12,20,19,8,18,18,0,10,1,18,13,11,9,7,2,7,1,18,18,20,13,13,10,11,0,6
810,348605,0,1,0,2,3,4,5,6,6,6,7,8,7,3,4,6,9,10,4,6,5,11,4,12,6,11,13,14,5,10,2,15,10,5,5,16,8,7,17,10,11,16,8,18,18,7,17,12,13,12,16,12,19,16,5,4,7,19,13,14,13,7,7,11,13,11,16,8,1,4,12,8,16,17,17,10,0,12,1,6,12,14,14,20,9,14,19,20,12,19,2,8,9,20,8,11,18,0,15,3,16,1,0,15,4,12,3,9,18,13,14,14,1,2,11,12,20,9,13,13,11,10,7,7,10,12,8,5,0,1,15,14,15,14,19,10,12,17,15,5,17,11,4,2,10,4,1,10,5,16,3,12,20,16,2,7,11,15,3,10,13,20,13,8,1,9,14,3,1,6,6,9,15,2,20,4,6,17,6,12,14,19,1,1,5,7,14,1,13,13,18,19,6,19,6,3,14,7,1,6,11,16,7,19,17,20,4,1,3,9,18,12,0,17,5,17,14,3,0,8,3,2,4,20,1,9,9,20,12,5,3,19,0,4,16,15,0,2,11,8,6,9,20,4,19,16,6,15,19,17,6,18,9,19,16,1,1,20,2,0,15,19,18,3,16,20,15,16,8,20,19,18,17,17,10,9,8,12,15,5,13,17,11,4,0,8,16,11,7,4,15,9,1,18,7,5,12,4,19,8,16,18,0,10,18,18,13,11,9,7,2,7,1,18,18,20,13,13,10,11,0,6
1230,345273,0,1,2,3,4,5,6,7,7,7,8,2,8,4,5,7,9,10,5,7,6,11,5,12,7,11,13,14,6,10,3,15,10,6,6,16,2,8,17,10,11,16,11,18,18,8,17,12,13,12,16,12,19,16,12,5,8,19,10,14,13,8,8,11,13,11,16,2,1,5,12,2,1,17,17,10,0,12,1,7,12,14,14,20,9,14,19,20,12,19,3,2,9,20,2,11,18,0,15,4,16,1,0,15,5,12,4,9,18,13,14,14,1,3,11,12,20,9,13,13,11,10,8,8,10,12,0,6,2,1,15,14,15,14,19,10,12,17,15,6,17,11,5,3,10,5,1,10,6,16,4,12,20,16,3,8,11,15,4,10,13,20,13,2,1,9,14,4,1,7,7,9,15,3,20,5,7,17,7,12,14,19,1,1,6,8,14,1,13,13,18,19,7,19,7,4,14,8,1,7,11,18,8,19,17,20,5,1,4,9,18,12,0,17,6,17,14,4,0,2,4,3,5,20,1,9,9,20,8,6,4,19,0,5,16,15,0,3,11,2,7,9,20,5,19,16,7,0,19,17,7,18,9,19,16,1,1,20,3,15,15,19,18,4,16,20,15,16,2,20,19,18,17,17,10,9,2,12,15,6,10,17,11,5,0,2,16,11,8,5,15,9,1,18,8,6,12,5,19,2,18,18,0,10,1,18,13,0,9,6,3,8,1,18,18,20,13,13,10,13,0,7
1320,344878,0,1,0,2,3,4,5,6,6,6,7,8,7,3,4,6,9,10,4,6,5,11,4,12,6,11,13,14,5,10,2,15,16,5,5,17,8,7,18,10,11,17,8,19,19,7,18,12,13,12,17,12,16,17,5,4,7,16,13,14,13,7,7,11,13,11,17,8,1,4,12,8,1,18,18,10,0,12,1,6,12,14,14,20,9,14,16,20,12,16,2,8,9,20,8,11,19,0,15,3,17,1,0,15,4,12,3,9,19,13,14,14,1,2,11,12,20,9,13,13,11,10,7,7,10,12,8,5,0,1,15,14,15,14,16,10,12,18,15,5,18,11,4,2,10,4,1,10,5,17,3,12,20,17,2,7,11,15,3,10,13,20,13,8,1,9,14,3,1,6,6,9,15,2,20,4,6,18,6,12,14,16,1,1,5,7,14,1,13,13,19,16,6,16,6,3,14,7,1,6,11,19,7,16,18,20,4,1,3,9,19,12,0,18,5,18,14,3,0,8,3,2,4,20,1,9,9,20,12,5,3,16,0,4,17,15,0,2,11,8,6,9,20,4,16,17,6,15,10,18,6,19,9,16,17,1,1,20,2,0,15,16,19,3,17,20,15,17,8,20,16,19,18,18,10,9,8,12,15,5,13,18,11,4,0,8,17,11,7,4,15,9,1,19,7,5,12,4,16,8,19,19,0,10,1,19,13,11,9,7,2,7,1,19,19,20,13,13,10,11,0,6
1410,343889,0,1,0,2,3,4,5,6,6,6,7,8,7,3,4,6,9,10,4,6,5,11,4,12,6,11,13,14,5,10,2,15,16,5,5,17,8,7,18,10,11,17,11,19,19,7,18,12,13,12,17,12,16,17,5,4,7,16,13,11,13,7,7,11,13,11,17,8,1,4,12,8,1,18,18,10,0,12,1,6,12,14,11,20,9,14,16,20,12,16,2,8,9,20,8,11,19,0,15,3,17,1,0,15,4,12,3,9,19,13,14,14,1,2,11,12,20,9,13,13,11,10,7,7,10,12,8,5,0,1,15,14,15,14,16,10,12,18,15,5,18,11,4,2,10,4,1,10,5,17,3,12,20,17,2,7,14,15,3,10,13,20,13,8,1,9,14,3,1,6,6,9,15,2,20,4,6,18,6,12,14,16,1,1,5,7,14,1,13,13,19,16,6,16,6,3,14,7,1,6,14,19,7,16,18,20,4,1,3,9,19,12,0,18,5,18,14,3,0,8,3,2,4,20,1,9,9,20,12,5,3,16,0,4,17,15,0,2,11,8,6,9,20,4,16,17,6,15,10,18,6,19,9,16,17,1,1,20,2,0,15,16,19,3,17,20,15,17,8,20,16,19,18,18,10,9,8,12,15,5,13,18,11,4,0,8,17,11,7,4,15,9,1,19,7,5,12,4,10,8,19,19,0,10,1,19,13,11,9,7,2,7,1,19,19,20,13,13,10,16,0,6
2280,335126,0,1,0,2,3,4,5,6,6,6,7,0,7,3,8,9,10,11,8,6,5,8,4,12,6,8,13,14,1,11,2,15,16,5,5,17,18,7,9,13,18,17,8,19,19,2,9,12,13,8,17,12,16,17,5,4,7,16,13,18,13,7,2,8,13,8,17,20,1,4,12,4,1,14,19,11,0,12,10,6,12,14,18,20,10,14,16,20,12,16,2,14,10,20,14,8,19,8,15,18,17,1,0,15,6,12,3,10,19,13,14,14,2,2,8,12,20,10,13,13,8,11,7,2,11,12,0,5,18,1,8,18,8,14,16,11,12,9,15,5,9,12,4,2,11,4,1,11,5,17,14,12,1,17,2,7,14,15,3,11,13,20,11,18,1,10,18,3,1,6,6,10,15,20,20,4,6,9,6,12,14,16,4,1,5,7,3,1,13,13,19,16,6,16,6,3,18,7,1,6,14,19,7,16,19,20,4,1,3,10,19,12,0,9,5,9,3,3,0,18,3,1,10,1,1,5,10,1,5,2,3,16,8,10,17,15,0,1,12,3,6,20,20,4,16,17,6,15,11,9,20,19,10,16,17,1,1,20,1,15,15,16,19,9,17,20,15,17,18,1,16,1,9,9,11,10,18,12,15,5,13,9,18,4,0,18,17,0,7,4,15,10,1,19,7,5,12,4,11,18,19,19,0,11,6,19,13,0,10,5,2,7,4,19,19,1,13,13,11,16,0,6
2400,333959,0,1,0,2,3,4,5,6,6,6,5,0,5,3,7,8,9,10,7,6,11,7,4,12,6,7,13,14,1,10,2,15,16,11,11,17,18,5,8,13,18,17,7,19,19,2,8,12,13,7,17,12,16,17,11,4,5,16,13,18,13,5,2,7,13,7,17,20,1,4,12,4,1,14,19,10,0,12,9,6,12,14,18,20,9,14,16,20,12,16,2,14,9,20,14,7,19,7,15,18,17,1,0,15,6,12,3,9,19,13,14,14,2,2,7,12,20,9,13,13,7,10,5,2,10,12,0,11,18,1,7,18,7,14,16,10,12,8,15,11,8,12,4,2,10,4,1,10,11,17,14,12,1,17,2,5,14,15,3,10,13,20,10,18,1,9,18,3,1,11,6,9,15,20,20,4,6,8,6,12,14,16,5,1,11,5,3,1,13,13,19,16,6,16,6,3,18,5,1,6,14,19,5,16,19,20,4,1,3,9,19,12,0,8,11,8,3,3,0,18,3,1,9,1,1,11,9,1,11,2,3,16,7,9,17,15,0,1,12,3,6,20,20,4,16,17,6,15,10,8,20,19,9,16,17,1,1,20,1,15,15,16,19,8,17,20,15,17,18,1,16,1,8,8,10,9,18,12,15,11,13,8,18,4,0,18,17,0,5,4,15,9,1,19,5,11,12,4,10,18,19,19,0,10,6,19,13,0,9,11,2,5,5,19,19,1,13,13,10,16,0,6
